English	Foreign	Transliteration	Context
little; young; shorter; younger; short; smaller; small	छोटा	chhoṭaa	
dog	कुत्ता	kuttaa	
black	काला	kaalaa	
the mouse; rat (m.); mouse (m.); mouse; rat	चूहा	chuuhaa	
cows	गायें	gaayen	
cats; the cats	बिल्लियाँ	billiyaan	
milk	दूध	duudh	
mice (m.); rat (obl. case); mouse (obl. case); rats (m.); rats; rat	चूहे	chuuhe	
black	काले	kaale	
dogs; dog; the dogs	कुत्ते	kutte	
the grass; grass	घास	ghaas	
large; huge; great; old; big; bigger; larger	बड़े	baṛe	
little; young; younger; short; smaller; small	छोटे	chhoṭe	
elephant	हाथी	haathii	
the horse; horse	घोड़ा	ghoṛaa	
becomes; would have; would have been	होता	hotaa	
animals; the animals; animal; an animal; the animal	जानवर	jaanavar	
are; were; would have been; would	होते	hote	
is; would have; were; would have been; are; would; end	होती	hotii	
fly	उड़ते	uṛte	
bird	पक्षी	pakshii	
peacock	मोर	mor	
pigeon	कबूतर	kabuutar	
run; runs	दौड़ती	dauṛtii	
functions; walks; walking; moving; walk	चलता	chalataa	
the road	सड़क	saṛk	
but; on; after; at; over; to	पर	par	
table	मेज़	mej	
swim; swimming	तैरते	tairate	
sitting (m.); sitting (adj.) (m.)	बैठा	baiṭhaa	
river	नदी	nadii	
standing (adj.) (m.); standing (m.); standing	खड़ा	khaṛaa	
chair	कुर्सी	kursii	
swimming	तैर रही	tair rahii	
walking; moving	चल रही	chal rahii	
standing	खड़ी	khaṛii	
coming to; coming	आ रही	aa rahii	
sitting (f.); sitting (f.) (adj.)	बैठी	baiṭhii	
going to; going	जा रही	jaa rahii	
running	दौड़ रही	dauṛ rahii	
coming; coming to	आ रहा	aa rahaa	
is going; having; walking	चल रहा	chal rahaa	
swimming	तैर रहा	tair rahaa	
going to; going; leaving	जा रहा	jaa rahaa	
today	आज	aaj	
(m.) running; running	दौड़ रहा	dauṛ rahaa	
(pl.) sitting	बैठे	baiṭhe	
coming; coming to; arriving	आ रहे	aa rahe	
standing	खड़े	khaṛe	
swimming	तैर रहे	tair rahe	
(pl.) walking; walking	चल रहे	chal rahe	
going to; going; leaving	जा रहे	jaa rahe	
(pl.) running; running	दौड़ रहे	dauṛ rahe	
playing	खेल रहे	khel rahe	
see; sees; watches; watch	देखते	dekhate	
play	खेलते	khelate	
(pl.) seeing; watching; (pl.) watching; (pl.) looking (at); looking	देख रहे	dekh rahe	
game; the game; games; play; sports; sport	खेल	khel	
doing; having	कर रहे	kar rahe	
can; do; redo; pray	करते	karate	
near; close; nearby; has; have	पास	paas	
work; job; chores; chore	काम	kaam	
bad; evil	बुरा	buraa	
many; too; very much; so; a lot of; very; much; a lot; lots	बहुत	bahut	
well; fine; nice; good	अच्छा	achchhaa	
what kind of; what type of; how	कैसा	kaisaa	
long; tall; lengthy; taller	लंबा	lanbaa	
well; fine; nice; good	अच्छी	achchhii	
what kind of; what type of; how	कैसी	kaisii	
long; lengthy; tall; taller; a long	लंबी	lanbii	
bad; evil	बुरी	burii	
people; public; the people; persons; all	लोग	log	
how; what kind of; what type of; how did	कैसे	kaise	
lengthy; tall; taller; long	लंबे	lanbe	
well; fine; good; nice	अच्छे	achchhe	
evil (pl.); bad (pl.); bad	बुरे	bure	
sad	दुखी	dukhii	
handsome; beautiful; pretty; prettiest	सुंदर	sundar	
young	जवान	javaan	
white	सफ़ेद	saphed	
happy	ख़ुश	khush	
red	लाल	laal	
yellow	पीला	piilaa	
blue	नीला	niilaa	
old	बूढ़े	buuṛe	
thin; slim	पतले	patale	
green	हरा	haraa	
fat	मोटे	moṭe	
orange	संतरा	santaraa	
fruits; fruit	फल	phal	
food; eating; the food; lunch; meal; to have; dinner; to eat; eat; supper	खाना	khaanaa	
potato	आलू	aaluu	
alcohol (f.); liquor	शराब	sharaab	
tomatoes; the tomato; tomato; the tomatoes	टमाटर	ṭamaaṭar	
egg	अंडा	anṛaa	
mangoes; normal; a mango; mango; ordinary; common; mangos	आम	aam	
rice	चावल	chaaval	
want; need; wants; needs; must; should; do want	चाहिए	chaahie	
(to) you; you	तुझे	tujhe	
I; me; I'm; I am	मुझे	mujhe	
lemon; the lemon; lemons; the lemons	नींबू	niinbuu	
carrot	गाजर	gaajar	
salad	सलाद	salaad	
like; enjoys; loves; prefer; likes; love; enjoy; you'll	पसंद	pasand	
fish	मछली	machhalii	
eating	खा रहे	khaa rahe	
snacks; snack; breakfast; the snacks	नाश्ता	naashtaa	
vegetables; the vegetables	सब्ज़ियाँ	sabjiyaan	
vegetables; vegetable	सब्ज़ी	sabjii	
she; her; that; him; it; he	उसे	use	
she; her; they; him; to them; them; he	उन्हें	unhen	
cold; cooling; cool; cooler	ठंडा	ṭhanṛaa	
drinking; having	पी रहे	pii rahe	
give	देते	dete	
you; you'll	तुम्हें	tumhen	
hot	गरम	garam	
take	लेते	lete	
we; us	हमें	hamen	
you	आपको	aapako	
at; on; to; in	को	ko	
seven	सात	saat	
eight	आठ	aaṭh	
five	पाँच	paanch	
six	छह	chhah	
four	चार	chaar	
hundred	सौ	sau	
thousand	हज़ार	hajaar	
ten	दस	das	
nine	नौ	nau	
many; several	कई	kaii	
half; a half; one half	आधा	aadhaa	
how many; how much; so; such; how	कितनी	kitanii	
how much; so; how	कितना	kitanaa	
something; a few; a little; few; anything; some	कुछ	kuchh	
how many; so; such; how much	कितने	kitane	
fourth	चौथा	chauthaa	
third	तीसरा	tiisaraa	
other; the second; another; second; 2nd	दूसरा	duusaraa	
first; the first; st; 1st	पहला	pahalaa	
fifth	पाँचवा	paanchavaa	
money; the money	पैसे	paise	
rupee	रुपया	rupayaa	
little; a bit; a little; some	थोड़ा	thoṛaa	
why	क्यों	kyon	
or	या	yaa	
that	उस	us	
this	इस	is	
room; the room	कमरा	kamaraa	
car	गाड़ी	gaaṛii	
rooms; the room; room; the rooms	कमरे	kamare	
cars	गाड़ियाँ	gaaṛiyaan	
open; opened	खुला	khulaa	
turn off; switch off; close; closed; closing	बंद	band	
doors; door; the doors	दरवाज़े	daravaaje	
window	खिड़की	khiṛkii	
windows; the windows	खिड़कियाँ	khiṛkiyaan	
door	दरवाज़ा	daravaajaa	
new; the new	नया	nayaa	
sleep	सोता	sotaa	
sleeping	सो रहा	so rahaa	
old; the old	पुराना	puraanaa	
bed	बिस्तर	bistar	
ground; floor; the floor; the ground; land	ज़मीन	jmiin	
cheap	सस्ता	sastaa	
expensive	महँगा	mahangaa	
wall	दीवार	diivaar	
walls; the walls	दीवारें	diivaaren	
the house; house; houses; home	मकान	makaan	
roof; terrace; the roof	छत	chhat	
come to; come	आओ	aao	
drink	पियो	piyo	
opinions; do not; don't; not	मत	mat	
go; leave; go to; to	जाओ	jaao	
have; eat	खाओ	khaao	
play!; play	खेलो	khelo	
tell	बताओ	bataao	
read; study	पढ़ो	paṛo	
do; make	करो	karo	
sit	बैठो	baiṭho	
take; breathe	लो	lo	
speak; tell; say	बोलो	bolo	
look; see; watch; look at	देखो	dekho	
me; than me; with me; to me; from me	मुझसे	mujhase	
her; to her; with her; him; with him; to it; than him; to him; from him; it	उससे	usase	
nose	नाक	naak	
hands; arm; hand; arms	हाथ	haath	
ear	कान	kaan	
leg; foot; feet; legs	पैर	pair	
head; heads; his head	सिर	sir	
mouth	मुँह	munh	
hair	बाल	baal	
stomachache; pain; stomachaches; paining; hurting; pains; the pain; toothache	दर्द	dard	
thumb	अँगूठा	anguuṭhaa	
hands; his hands	हाथों	haathon	
finger	उँगली	ungalii	
feet; legs	पैरों	pairon	
thumb; thumbs	अँगूठे	anguuṭhe	
fingers; toes	उँगलियाँ	ungaliyaan	
eye	आँख	aankh	
heart	दिल	dil	
teeth.; teeth	दाँतों	daanton	
teeth; tooth	दाँत	daant	
colour; paints; the colour; the colours; paint; colours	रंग	rang	
healthy	स्वस्थ	svasth	
ill; sick; unwell	बीमार	biimaar	
fever	बुखार	bukhaar	
medicine	दवाई	davaaii	
city	शहर	shahar	
there	वहाँ	vahaan	
village	गाँव	gaanv	
which	कौनसा	kaunasaa	
Delhi	दिल्ली	dillii	
place; site; room; space; area; spot	जगह	jagah	
street; lane	गली	galii	
here	यहाँ	yahaan	
what; which	कौनसी	kaunasii	
where; where did	कहाँ	kahaan	
far	दूर	duur	
on top of; upstairs; up; on; over; above; top	ऊपर	uupar	
in front of; ahead; front; ahead of; further	आगे	aage	
behind; after; back	पीछे	piichhe	
inside	अंदर	andar	
outside	बाहर	baahar	
at; o'clock	बजे	baje	
half past two; two and a half	ढाई	ṛaaii	
half past one; at half-past one; one and a half	डेढ़	ṛeṛ	
time	समय	samaya	
half past; thirty	साढ़े	saaṛe	
quarter to	पौने	paune	
one fourth; quarter past; quarter	सवा	savaa	
minute; minutes	मिनट	minaṭ	
hour; hours	घंटे	ghanṭe	
bell; hour; hours	घंटा	ghanṭaa	
wakes up	जागता	jaagataa	
night	रात	raat	
morning	सुबह	subah	
evening	शाम	shaam	
afternoon	दोपहर	dopahar	
ever; sometime	कभी	kabhii	
now; anymore	अब	ab	
when; when did	कब	kab	
always	हमेशा	hameshaa	
sometimes	कभी कभी	kabhii kabhii	
write; writes	लिखता	likhataa	
poem; a poem; poetry	कविता	kavitaa	
writers; writer; authors	लेखक	lekhak	
letter; the letter; letters; postcard; a letter	चिट्ठी	chiṭṭhii	
story	कहानी	kahaanii	
sells	बेचता	bechataa	
buy; buys	ख़रीदती	khriidatii	
teaches; teach	पढ़ाता	paṛaataa	
