order	순서	-	
nervousness	긴장	-	
forget; forgets	잊다	-	
order	주문	-	
latte	라떼	-	
soy milk	두유	-	
sugar	설탕	-	
jump; jumps	뛰다	-	
shed	흘리다	-	
such	저런	-	
cash	현금	-	
there	그곳	-	
personally	직접	-	
main gate	정문	-	
machine	기계	-	
for a long time; ages	오랫동안	-	
Walk	걸어가다	-	
field; carry	들	-	
crosswalk	횡단보도	-	
sign	간판	-	
step	밟다	-	
walk	걸음	-	
public holiday	공휴일	-	
express bus	고속버스	-	
always	늘	-	
touching; touches	만지다	-	
managed	관리하다	-	
that person	저분	-	
tiger	호랑이	-	
hamburger	햄버거	-	
curry	카레	-	
all	모든	-	
tray	쟁반	-	
fly	날다	-	
information	정보	-	
aquarium	수족관	-	
once	한번	-	
carefully	조심히	-	
something	거	-	
cart	카트	-	
marie	마리	-	
squid	오징어	-	
garlic	마늘	-	
simple	단순하다	-	
salt	소금	-	
pork cutlet	돈가스	-	
then	그럼	-	
oven	오븐	-	
Haruto	하루토	-	
soon	금방	-	
pot	냄비	-	
extremely	굉장히	-	
knife	칼	-	
little by little	조금씩	-	
floral	꽃무늬	-	
frying pan	프라이팬	-	
napkin	냅킨	-	
plate	접시	-	
as it is	그대로	-	
mowing; carves; mow; mows	깎다	-	
black tea	홍차	-	
equally	골고루	-	
takes; having; have	가지다	-	
uncle	삼촌	-	
photographer	사진가	-	
in order to	으려고	-	
April	사월	-	
famous	유명	-	
well	글쎄요	-	
to	려고	-	
photography	촬영	-	
model	모델	-	
bank	은행	-	
spring	봄	-	
woman	여자	-	
actor	영화배우	-	
won	원	-	
cosmetic	화장품	-	
face	얼굴	-	
one hundred thousand	십만	-	
price	값	-	
sunlight	햇빛	-	
orange	오렌지	-	
furniture	가구	-	
